Job_Title,Company_Name,Company_Address,Job_Time,Job_Level,Publish_Date,Job_Link
Mid Senior Data Analyst,Worex,Maadi\ Cairo\ Egypt,Full Time,Experienced,14/8/2022,https://wuzzuf.net/jobs/p/0T6a4KDMsFNn-Mid-Senior-Data-Analyst-Worex-Cairo-Egypt?o=1&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Junior Data Analyst,Worex,Maadi\ Cairo\ Egypt,Full Time,Entry Level,14/8/2022,https://wuzzuf.net/jobs/p/iq5jLz08Y7Fb-Junior-Data-Analyst-Worex-Cairo-Egypt?o=2&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Senior Data Analyst - Business Intelligence,Confidential,Maadi\ Cairo\ Egypt,Full Time,Experienced,10/8/2022,https://wuzzuf.net/jobs/p/FdG6WamryKOU-Senior-Data-Analyst---Business-Intelligence-Cairo-Egypt?o=3&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
E-Commerce & Marketing Data Analyst,Confidential,New Cairo\ Cairo\ Egypt,Full Time,Experienced,14/8/2022,https://wuzzuf.net/jobs/p/jzNIjX873nvy-E-Commerce-Marketing-Data-Analyst-Cairo-Egypt?o=4&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Business Data Analyst,Fawry Plus,Smart Village\ Giza\ Egypt,Full Time,Entry Level,6/8/2022,https://wuzzuf.net/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=5&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Data Analyst,Spark Systems,Sheikh Zayed\ Giza\ Egypt,Full Time,Entry Level,17/8/2022,https://wuzzuf.net/jobs/p/1vD8UNEXx8ia-Data-Analyst-Spark-Systems-Giza-Egypt?o=6&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Data Analyst,GPS,Nozha\ Cairo\ Egypt,Full Time,Experienced,14/8/2022,https://wuzzuf.net/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=7&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Senior Data Analyst,Confidential,Heliopolis\ Cairo\ Egypt,Full Time,Experienced,2/8/2022,https://wuzzuf.net/jobs/p/ZCEoSVUTHVP3-Senior-Data-Analyst-Cairo-Egypt?o=8&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Senior Digital Data Analyst (Remote Job),Mindfield,New Cairo\ Cairo\ Egypt,Full Time,Experienced,10/8/2022,https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=9&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
Advanced Junior Financial Data Analyst,Z2 Data,Nasr City\ Cairo\ Egypt,Full Time,Entry Level,8/8/2022,https://wuzzuf.net/jobs/p/uDOq5pUnCS0S-Advanced-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=10&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl
